,city,country,latitude,longitude,name,postalCode,state
1870,Montgomery,US,32,-86,Hardee's,36110,AL
1871,Brunswick,US,43,-69,Burger King,4011,ME
1872,Shelbyville,US,38,-85,McDonalds,40065,KY
1873,Northport,US,33,-87,Bojangles' Famous Chicken 'n Biscuits,35476,AL
1874,Tuscaloosa,US,33,-87,Bojangles' Famous Chicken 'n Biscuits,35405,AL
1875,La Grange,US,38,-85,McDonald's,40031,KY
1876,Atlanta,US,33,-94,KFC,75551,TX
1877,Epping,US,43,-71,McDonald's,3042,NH
1878,Dripping Springs,US,30,-98,McDonald's,78620,TX
1879,Wrightstown,US,40,-74,McDonald's,8562,NJ
1880,Overland Park,US,38,-94,Burger King,66204,KS
1881,Warrior,US,33,-86,Taco Bell,35180,AL
1882,Oneonta,US,33,-86,Taco Bell,35121,AL
1883,Blue Springs,US,39,-94,McDonald's,64014,MO
1884,Olathe,US,38,-94,McDonald's,66061,KS
1885,Walnut Cove,US,36,-80,Bojangles' Famous Chicken 'n Biscuits,27052,NC
1886,Raleigh,US,35,-78,McDonald's,27609,NC
1887,Brownsville,US,25,-97,Jack in the Box,78521,TX
1888,Scottsdale,US,33,-111,McDonald's,85250,AZ
1889,Harlingen,US,26,-97,Jack in the Box,78550,TX
1890,Cary,US,35,-78,McDonald's,27511,NC
1891,Gallup,US,35,-108,Wendy's,87301,NM
1892,Gallup,US,35,-108,McDonald's,87301,NM
1894,Raleigh,US,35,-78,Burger King,27612,NC
1895,Covington,US,30,-90,Waffle House,70433,LA
1896,Pensacola,US,30,-87,Waffle House,32507,FL
1897,Independence,US,37,-95,Arby's,67301,KS
1898,Nicholasville,US,37,-84,McDonald's,40356,KY
1899,Waterbury,US,41,-73,SUBWAY,6705,CT
1900,Owensboro,US,37,-87,Arby's,42303,KY
1901,La Porte,US,41,-86,Arby's,46350,IN
1902,Waterbury,US,41,-73,McDonald's,6704,CT
1903,Guymon,US,36,-101,McDonald's,73942,OK
1904,New Haven,US,41,-72,McDonald's,6513,CT
1905,Vernon Rockville,US,41,-72,Taco Bell,6066,CT
1906,Huntersville,US,35,-80,Burger King,28078,NC
1907,Monroe,US,35,-80,Taco Bell,28110,NC
1908,Monroe,US,34,-80,Taco Bell,28110,NC
1909,Hartford,US,41,-72,McDonald's,6112,CT
1910,Matthews,US,35,-80,McDonald's,28104,NC
1911,Owens Cross Roads,US,34,-86,Arby's,35763,AL
1912,Alexandria,US,31,-92,Sonic Drive-In,71303,LA
1913,Franklin,US,41,-74,McDonald's,7416,NJ
1914,Harrisonburg,US,38,-78,Bojangles' Famous Chicken 'n Biscuits,22801,VA
1915,Brewton,US,31,-87,Whataburger,36426,AL
1916,Winston Salem,US,36,-80,Wendy's,27103,NC
1917,Somerset,US,37,-84,Steak 'n Shake,42501,KY
1918,Greenville,US,35,-77,McDonald's,27858,NC
1919,Salt Lake City,US,40,-111,Chick-fil-A,84123,UT
1920,Salt Lake City,US,40,-112,Subway,84120,UT
1921,Denham Springs,US,30,-90,Popeye's Chicken & Biscuits,70726,LA
1922,Lenoir,US,35,-81,SONIC Drive In,28645,NC
1923,Versailles,US,38,-92,McDonald's,65084,MO
1924,Rockport,US,28,-97,Whataburger,78382,TX
1925,Saint Robert,US,37,-92,Taco Bell,65584,MO
1926,Saint Robert,US,37,-92,SONIC Drive In,65584,MO
1927,Saint Robert,US,37,-92,Wendy's,65584,MO
1928,Carthage,US,37,-94,Taco Bell,64836,MO
1929,Jefferson City,US,38,-92,Wendy's,65109,MO
1930,Denham Springs,US,30,-90,Burger King,70726,LA
1931,Shelby,US,35,-81,Bojangles' Famous Chicken 'n Biscuits,28152,NC
1932,Oxford,US,36,-78,Cook-Out,27565,NC
1933,Brick,US,40,-74,McDonald's,8724,NJ
1934,Point Pleasant Beach,US,40,-74,KFC,8742,NJ
1935,Fayetteville,US,35,-78,Burger King,28303,NC
1936,Alexandria,US,31,-92,Burger King,71303,LA
1937,Bellevue,US,41,-95,Burger King,68123,NE
1938,Petersburg,US,40,-78,Hardee's,23803,VA
1939,Richmond,US,37,-77,Wendy's,23234,VA
1940,Midlothian,US,37,-77,Burger King,23112,VA
1941,Siler City,US,35,-79,Bojangles' Famous Chicken 'n Biscuits,27344,NC
1942,Midlothian,US,37,-77,Burger King,23112,VA
1943,Henrico,US,37,-77,Burger King,23229,VA
1944,Montgomery,US,32,-86,Krystal,36116,AL
1945,Montgomery,US,32,-86,Krystal,36117,AL
1946,Montgomery,US,32,-86,Krystal,36109,AL
1947,Jefferson City,US,38,-92,McDonald's,65109,MO
1948,Ocean City,US,38,-75,McDonald's,21842,MD
1949,Sedalia,US,38,-93,Arby's,65301,MO
1950,Whitehall,US,40,-75,Panera Bread,18052,PA
1951,Syracuse,US,41,-112,Domino's Pizza,84075,UT
1952,Schnecksville,US,40,-75,McDonalds,18078,PA
1953,Mexico,US,39,-91,Hardee's,65265,MO
1954,Ocean City,US,38,-75,Burger King,21842,MD
1955,Reidsville,US,36,-79,Wendy's,27320,NC
1956,Tuba City,US,36,-111,McDonald's,86045,AZ
1957,Clearfield,US,41,-112,Arby's,84015,UT
1958,Ogden,US,41,-112,Arby's,84404,UT
1959,Marlborough,US,42,-71,Boston Market,1752,MA
1960,Roswell,US,33,-104,Jimmy John's,88201,NM
1961,Los Lunas,US,34,-106,Carl's Jr.,87031,NM
1962,Veradale,US,47,-117,Wendy's,99037,WA
1963,Pelham,US,33,-86,Burger King,35124,AL
1964,Albuquerque,US,35,-106,Domino's Pizza,87114,NM
1965,Albuquerque,US,35,-106,Burger King,87113,NM
1966,Moriarty,US,35,-106,Taco Bell,87035,NM
1967,Belen,US,34,-106,Taco Bell,87002,NM
1968,Elkton,US,39,-75,Hardees,21921,MD
1969,Marshall,US,39,-93,Arby's,65340,MO
1970,Hillside,US,40,-74,McDonald's,7205,NJ
1971,Nottingham,US,39,-76,McDonald's,21236,MD
1972,Brighton,US,42,-83,McDonald's,48116,MI
1973,Odessa,US,39,-93,McDonald's,64076,MO
1974,Columbia,US,38,-92,McDonald's,65201,MO
1975,Espanola,US,35,-106,El Paragua Restaurant,87532,NM
1976,Yuma,US,32,-114,Taco Bell,85365,AZ
1977,Yuma,US,32,-114,Jack in the Box,85365,AZ
1978,Monroe,US,32,-92,Arby's,71201,LA
1979,West Monroe,US,32,-92,Captain D's Seafood,71291,LA
1980,Louisville,US,38,-85,Panera Bread,40222,KY
1981,Haughton,US,32,-93,Arby's,71037,LA
1982,Vivian,US,32,-93,SONIC Drive In,71082,LA
1983,Ruston,US,32,-92,Arby's,71270,LA
1984,Louisville,US,38,-85,Burger King,40241,KY
1985,Ruston,US,32,-92,Whataburger,71270,LA
1986,Mount Holly,US,39,-74,McDonald's,8060,NJ
1987,West Monroe,US,32,-92,Wendy's,71291,LA
1988,Warwick,US,41,-74,Burger King,10990,NY
1989,Ruston,US,32,-92,Taco Bell,71270,LA
1990,Morganton,US,35,-81,Arby's,28655,NC
1991,Wheeling,US,40,-80,Burger King,26003,WV
1992,Hanover,US,38,-85,McDonald's,47243,IN
1993,La Crosse,US,43,-91,Taco Bell,54601,WI
1994,Manchester,US,42,-71,Wendy's,3102,NH
1995,Lima,US,40,-84,Arby's,45804,OH
1996,Somerset,US,37,-84,Wendy's,42501,KY
1997,Bangor,US,44,-68,Subway,4401,ME
1998,Parkersburg,US,39,-81,Burger King,26104,WV
1999,Terre Haute,US,39,-87,Burger King,47805,IN
2000,Terre Haute,US,39,-87,Burger King,47802,IN
2001,Clinton,US,39,-87,KFC,47842,IN
2002,Brazil,US,39,-87,Burger King,47834,IN
2003,Middlebury,US,41,-85,Taco Bell,46540,IN
2004,Elkhart,US,41,-85,Wendy's,46517,IN
2005,Wyoming,US,42,-85,Chick-fil-A,49509,MI
2006,Harlingen,US,26,-97,McDonald's,78550,TX
2007,Brownsville,US,25,-97,McDonald's,78526,TX
2008,Columbia City,US,41,-85,Hardee's,46725,IN
2009,Hazard,US,37,-83,Wendy's,41701,KY
2010,Toledo,US,41,-83,Boston Market,43606,OH
2011,Billerica,US,42,-71,McDonald's,1821,MA
2012,Puyallup,US,47,-122,Burger King,98373,WA
2013,Puyallup,US,47,-122,Burger King,98371,WA
2014,Kennewick,US,46,-119,Taco Bell,99336,WA
2015,Richland,US,46,-119,Wendy's,99352,WA
2016,Kennewick,US,46,-119,McDonald's,99336,WA
2017,Richland,US,46,-119,Burger King,99352,WA
2018,Kennewick,US,46,-119,Wendy's,99336,WA
2019,Muncie,US,40,-85,Arby's,47303,IN
2020,Fargo,US,46,-96,Five Guys,58104,ND
2021,Fargo,US,46,-96,Burger King,58102,ND
2023,Coos Bay,US,43,-124,Wendy's,97420,OR
2024,Central City,US,37,-87,Arby's,42330,KY
2025,Canton,US,40,-81,Burger King,44706,OH
2026,North Canton,US,40,-81,Burger King,44720,OH
2027,Troutdale,US,45,-122,Carl's Jr.,97060,OR
2028,Mission,US,26,-98,Burger King,78572,TX
2029,Louisville,US,38,-85,McDonald's,40207,KY
2030,Richmond,US,39,-84,Arby's,47374,IN
2031,Richmond,US,39,-84,Domino's Pizza,47374,IN
2032,Richmond,US,39,-84,Burger King,47374,IN
2033,Hampton,US,37,-76,Bojangles' Famous Chicken 'n Biscuits,23666,VA
2034,San Antonio,US,29,-98,Whataburger,78239,TX
2035,Marshfield,US,44,-90,KFC,54449,WI
2036,Marshfield,US,44,-90,Arby's,54449,WI
2037,Marshfield,US,44,-90,Culver's,54449,WI
2038,Wisconsin Rapids,US,44,-89,McDonalds,54494,WI
2039,Sauk City,US,43,-89,McDonald's,53583,WI
2040,Trinity,US,30,-95,McDonald's,75862,TX
2041,Fond Du Lac,US,43,-88,McDonald's,54935,WI
2042,Elizabeth City,US,36,-76,McDonald's,27909,NC
2043,Elizabeth City,US,36,-76,SONIC Drive In,27909,NC
2044,Elizabeth City,US,36,-76,Wendy's,27909,NC
2045,Yakima,US,46,-120,McDonald's,98902,WA
2046,Yakima,US,46,-120,McDonalds,98903,WA
2047,Moses Lake,US,47,-119,Arby's,98837,WA
2048,Moses Lake,US,47,-119,McDonald's,98837,WA
2049,Moses Lake,US,47,-119,McDonald's,98837,WA
2050,Moses Lake,US,47,-119,Taco Time,98837,WA
2051,Moses Lake,US,47,-119,Taco Bell,98837,WA
2052,Edgerton,US,42,-89,Taco John's,53534,WI
2053,Edgerton,US,42,-89,McDonalds,53534,WI
2054,Janesville,US,42,-89,McDonald's,53548,WI
2055,San Angelo,US,31,-100,Chick-fil-A,76904,TX
2056,Jacksonville,US,31,-95,Jack in the Box,75766,TX
2057,Rusk,US,31,-95,McDonalds,75785,TX
2058,Jasper,US,30,-93,Jack in the Box,75951,TX
2059,Marshall,US,32,-94,Wendy's,75670,TX
2060,Marshall,US,32,-94,Taco Bell,75670,TX
2061,Kingsville,US,27,-97,McDonald's,78363,TX
2062,Kingsville,US,27,-97,Whataburger,78363,TX
2063,Kingsville,US,27,-97,Wendy's,78363,TX
2064,Kingsville,US,27,-97,Burger King,78363,TX
2065,Rio Grande City,US,26,-98,Burger King,78582,TX
2066,Roma,US,26,-98,Burger King,78584,TX
2067,Roma,US,26,-99,Whataburger,78584,TX
2068,Rio Grande City,US,26,-98,Dairy Queen,78582,TX
2069,Rio Grande City,US,26,-98,KFC,78582,TX
2070,La Grange,US,29,-96,McDonald's,78945,TX
2071,Omak,US,48,-119,Taco Bell,98841,WA
2072,Muskogee,US,35,-95,Wendy's,74401,OK
2073,Muskogee,US,35,-95,Arby's,74401,OK
2074,Muskogee,US,35,-95,Chick-Fil-A,74401,OK
2075,Holdenville,US,35,-96,Sonic Drive-In,74848,OK
2076,Holdenville,US,35,-96,McDonald's,74848,OK
2077,Hugo,US,34,-95,KFC,74743,OK
2078,Tahlequah,US,35,-94,Arby's,74464,OK
2079,Tahlequah,US,35,-94,McDonald's,74464,OK
2080,Centralia,US,46,-122,Quiznos,98531,WA
2081,Tahlequah,US,35,-94,Carl's Jr.,74464,OK
2082,Fairbury,US,40,-97,McDonald's,68352,NE
2083,Holdrege,US,40,-99,Subway,68949,NE
2084,Mc Cook,US,40,-100,Arby's,69001,NE
2085,Schofield,US,44,-89,SUBWAY,54476,WI
2086,Oneill,US,42,-98,McDonald's,68763,NE
2087,Ogallala,US,41,-101,McDonalds,69153,NE
2088,Nebraska City,US,40,-95,Burger King,68410,NE
2089,Nebraska City,US,40,-95,Subway,68410,NE
2090,Nebraska City,US,40,-95,Arby's,68410,NE
2091,Deming,US,32,-107,Pizza Hut,88030,NM
2092,Deming,US,32,-107,Domino's Pizza,88030,NM
2093,Deming,US,32,-107,Burger Time,88030,NM
2094,Woodstock,US,38,-78,Taco Bell,22664,VA
2095,Meadville,US,41,-80,KFC,16335,PA
2096,Meadville,US,41,-80,McDonald's,16335,PA
2097,Meadville,US,41,-80,McDonald's,16335,PA
2098,Meadville,US,41,-80,Arby's,16335,PA
2099,Meadville,US,41,-80,Wendy's,16335,PA
2100,Meadville,US,41,-80,Burger King,16335,PA
2101,Morrisville,US,44,-72,McDonalds,5661,VT
2102,Bloomsburg,US,41,-76,McDonald's,17815,PA
2103,Bennington,US,42,-73,McDonald's,5201,VT
2104,Bennington,US,42,-73,Burger King,5201,VT
2105,Bennington,US,42,-73,Domino's Pizza,5201,VT
2106,Bloomsburg,US,41,-76,KFC,17815,PA
2107,Bloomsburg,US,41,-76,Wendy's,17815,PA
2108,Danville,US,40,-76,Wendy's,17821,PA
2109,Williamsport,US,41,-76,KFC,17701,PA
2110,Orangeburg,US,33,-80,Hardee's,29115,SC
2111,Santee,US,33,-80,McDonald's,29142,SC
2112,Union,US,34,-81,Taco Bell,29379,SC
2113,Williamsport,US,41,-76,Arby's,17701,PA
2114,Williamsport,US,41,-76,McDonald's,17701,PA
2115,Williamsport,US,41,-77,McDonald's,17701,PA
2116,Muncy,US,41,-76,Arby's,17756,PA
2117,Williamsport,US,41,-77,Wendy's,17701,PA
2118,Montoursville,US,41,-76,Wendy's,17754,PA
2119,Jersey Shore,US,41,-77,Arby's,17740,PA
2120,Orangeburg,US,33,-80,Taco Bell,29115,SC
2121,York,US,39,-76,KFC,17402,PA
2122,York,US,39,-76,Burger King,17402,PA
2123,Mitchell,US,43,-98,Taco John's,57301,SD
2124,Mitchell,US,43,-98,Arby's,57301,SD
2125,Mitchell,US,43,-98,McDonalds,57301,SD
2126,Mitchell,US,43,-98,Dairy Queen,57301,SD
2127,Mobridge,US,45,-100,Dairy Queen,57601,SD
2128,Mitchell,US,43,-98,Quiznos,57301,SD
2129,Mitchell,US,43,-98,Culver's,57301,SD
2130,Pierre,US,44,-100,Pizza Hut,57501,SD
2131,Pierre,US,44,-100,Domino's Pizza,57501,SD
2132,Vermillion,US,42,-96,Burger King,57069,SD
2133,Vermillion,US,42,-96,Domino's Pizza,57069,SD
2134,Vermillion,US,42,-96,Subway,57069,SD
2135,Vermillion,US,42,-96,McDonald's,57069,SD
2136,Walterboro,US,32,-80,Captain D's Seafood,29488,SC
2137,Brookings,US,44,-96,Arby's,57006,SD
2138,Brookings,US,44,-96,Subway,57006,SD
2139,Adamsville,US,35,-88,SONIC Drive In,38310,TN
2140,Dillon,US,34,-79,Arby's,29536,SC
2141,Dillon,US,34,-79,Wendy's,29536,SC
2142,Winner,US,43,-99,Pizza Hut,57580,SD
2143,Winner,US,43,-99,McDonald's,57580,SD
2144,Greenwood,US,34,-82,McDonald's,29649,SC
2145,Greenwood,US,34,-82,Subway,29649,SC
2146,Greenwood,US,34,-82,Bojangles' Famous Chicken 'n Biscuits,29649,SC
2147,Lancaster,US,34,-80,Bojangles' Famous Chicken 'n Biscuits,29720,SC
2148,Lancaster,US,34,-80,SONIC Drive In,29720,SC
2149,Norwalk,US,41,-82,Burger King,44857,OH
2150,Washington Court House,US,39,-83,McDonald's,43160,OH
2151,Washington Court House,US,39,-83,Arby's,43160,OH
2152,Washington Court House,US,39,-83,McDonald's,43160,OH
2153,Willard,US,41,-82,Wendy's,44890,OH
2154,Cookeville,US,36,-85,Taco Bell,38501,TN
2155,West Union,US,38,-83,McDonald's,45693,OH
2156,Ashland,US,40,-82,McDonald's,44805,OH
2157,Ashland,US,40,-82,KFC,44805,OH
2158,Ashland,US,40,-82,Burger King,44805,OH
2159,Mcalester,US,34,-95,Taco Bell,74501,OK
2160,Mcalester,US,34,-95,Arby's,74501,OK
2161,Cleveland,US,35,-84,McDonald's,37323,TN
2162,Cleveland,US,35,-84,Krystal,37311,TN
2163,Rutland,US,43,-72,Domino's Pizza,5701,VT
2164,Rutland,US,43,-72,Burger King,5701,VT
2165,Rutland,US,43,-72,KFC,5701,VT
2166,Rutland,US,43,-72,Wendy's,5701,VT
2167,Rutland,US,43,-72,McDonald's,5701,VT
2168,Barre,US,44,-72,McDonald's,5641,VT
2169,Barre,US,44,-72,Burger King,5641,VT
2170,Mineral Wells,US,32,-98,Jack in the Box,76067,TX
2171,Mineral Wells,US,32,-98,Whataburger,76067,TX
2172,Cairo,US,42,-73,McDonald's,12413,NY
2173,Kennewick,US,46,-119,McDonald's,99336,WA
2174,Victoria,US,28,-97,Wendy's,77901,TX
2175,Victoria,US,28,-96,McDonald's,77901,TX
2176,Port Lavaca,US,28,-96,McDonald's,77979,TX
2177,Wenatchee,US,47,-120,Arby's,98801,WA
2178,Wenatchee,US,47,-120,Wendy's,98801,WA
2179,Wenatchee,US,47,-120,McDonald's,98801,WA
2180,East Wenatchee,US,47,-120,Burger King,98802,WA
2181,Bowie,US,33,-97,Chicken Express,76230,TX
2182,Brady,US,31,-99,McDonald's,76825,TX
2183,Brownfield,US,33,-102,Burger King,79316,TX
2184,Buffalo,US,31,-96,SONIC Drive In,75831,TX
2185,Aberdeen,US,46,-123,Jack in the Box,98520,WA
2186,Aberdeen,US,46,-123,KFC - Kentucky Fried Chicken,98520,WA
2187,Aberdeen,US,46,-123,KFC,98520,WA
2188,Aberdeen,US,46,-123,Taco Bell,98520,WA
2189,Childress,US,34,-100,Arby's,79201,TX
2190,Center,US,31,-94,McDonald's,75935,TX
2191,Center,US,31,-94,KFC,75935,TX
2192,Center,US,31,-94,Whataburger,75935,TX
2193,Bellingham,US,48,-122,McDonald's,98226,WA
2195,Burlington,US,48,-122,Jack in the Box,98233,WA
2196,Burlington,US,48,-122,Wendy's,98233,WA
2197,Galax,US,36,-80,Taco Bell,24333,VA
2198,Galax,US,36,-80,McDonald's,24333,VA
2199,Galax,US,36,-80,Wendy's,24333,VA
2200,Galax,US,36,-80,KFC,24333,VA
2201,Galax,US,36,-80,Arby's,24333,VA
2202,Wilmington,US,34,-77,Bojangles' Famous Chicken 'n Biscuits,28405,NC
2203,Chanute,US,37,-95,Subway,66720,KS
2204,Laramie,US,41,-105,Subway,82072,WY
2205,Laramie,US,41,-105,Subway,82070,WY
2206,Dumas,US,33,-91,Subway,71639,AR
2207,Florence,US,38,-84,Subway,41042,KY
2208,Milton,US,44,-73,SUBWAY,5468,VT
2209,Edwardsville,US,38,-89,Dairy Queen,62025,IL
2210,Williamston,US,35,-77,Dairy Queen,27892,NC
2211,Beatrice,US,40,-96,Dairy Queen,68310,NE
2212,Mexico,US,39,-91,Dairy Queen,65265,MO
2214,Rockford,US,42,-89,Dairy Queen,61109,IL
2215,Rainelle,US,37,80,Dairy Queen,25962-1107,WV
2216,Hot Springs,US,43,103,Dairy Queen,57747,SD
2217,Madison,US,44,97,Dairy Queen,57042,SD
2219,La Crosse,US,43,91,Dairy Queen,54601,WI
2220,Benton,US,32,93,Dairy Queen,71006,LA
2221,Natchitoches,US,31,-93,Dairy Queen,71457,LA
2223,Clayton,US,36,-103,Dairy Queen,88415,NM
2224,Santa Fe,US,35,-106,Dairy Queen,87506,NM
2225,Kingsland,US,30,98,Dairy Queen,78639,TX
2226,Jeffersonville,US,38,85,Dairy Queen,47130,IN
2227,Scappoose,US,45,122,Dairy Queen,97056,OR
2228,Millersburg,US,40,-81,Dairy Queen,44654,OH
2229,Frankfort,US,38,84,Dairy Queen,40601,KY
2230,Galena,US,37,-94,Dairy Queen,66739,KS
2231,Barbourville,US,36,83,Dairy Queen,40906,KY
2232,Bowling Green,US,36,-86,Dairy Queen,42101,KY
2233,Breezewood,US,40,-78,Dairy Queen,15533,PA
2234,Rochester,US,46,123,Dairy Queen,98579,WA
2235,Chesapeake,US,36,-76,Pizza Hut,23320,VA
2236,Blackstone,US,37,-77,McDonald's,23824,VA
2237,Albion,US,41,-80,Cherry Hill Drive In Ice Cream,16401-8211,PA
2238,Decatur,US,33,-84,Captain D's,30032-4157,GA
2239,East Saint Louis,US,38,-90,Captain D's,62206,IL
2240,Fort Valley,US,32,-83,Captain D's,31030,GA
2241,Gardendale,US,33,-86,Captain D's,35071,AL
2242,Savannah,US,35,-88,Taco Bell,38372,TN
2243,Saint Johnsbury,US,44,-72,McDonald's,5819,VT
2244,Saint Louis,US,38,-90,Chick-fil-A,63129,MO
2245,Saint Louis,US,38,-90,KFC,63129,MO
2246,Leesville,US,31,-93,Checkers,71446,LA
2247,Elko,US,40,-115,Arby's,89801,NV
2248,Eloy,US,32,-111,Arby's,85131,AZ
2249,Eagle River,US,61,-149,Arby's,99577,AK
2250,Kingfisher,US,35,-97,KFC,73750,OK
2251,Owensville,US,38,-91,Mcdonalds,65066,MO
2252,Pryor,US,36,-95,McDonald's,74361,OK
2253,Oxford,US,36,-78,Taco Bell,27565,NC
2254,Sainte Genevieve,US,37,-90,McDonald's,63670,MO
2255,Cincinnati,US,39,-84,White Castle,45247,OH
2256,Spokane,US,47,-117,McDonalds,99205,WA
2257,Cincinnati,US,39,-84,White Castle,45224,OH
2258,Cincinnati,US,39,-84,KFC,45231,OH
2259,Fairfield,US,31,-96,Taco Bell,75840,TX
2260,Raymondville,US,26,-97,McDonald's,78580,TX
2261,Baker City,US,44,-117,McDonald's,97814,OR
2263,Salem,US,37,-91,KFC,65560,MO
2264,Salem,US,37,-91,SONIC Drive In,65560,MO
2265,Easthampton,US,42,-72,Burger King,1027,MA
2266,Placerville,US,38,-120,In-N-Out Burger,95667,CA
2267,Fort Lauderdale,US,26,-80,Burger King,33331,FL
2268,Rancho Cordova,US,38,-121,Burger King,95670,CA
2269,Kingston,US,41,-70,Burger King,2364,MA
2270,Kirkland,US,47,-122,Burger King,98034,WA
2271,Knoxville,US,35,-84,Burger King,37934,TN
2273,Rawlins,US,41,-107,Domino's Pizza,82301,WY
2274,Owens Cross Roads,US,34,-86,Chick-fil-A,35763,AL
2275,Boise,US,43,-116,Domino's Pizza,83705,ID
2276,Valley Stream,US,40,-73,Burger King,11580,NY
2277,Nampa,US,43,-116,Domino's Pizza,83686,ID
2278,Hanover,US,42,-70,Burger King,2339,MA
2279,Hartford,US,41,-72,Burger King,6114,CT
2280,New Richmond,US,45,-92,Burger King,54017,WI
2281,Harrison,US,39,-84,Burger King,45030,OH
2282,Hastings,US,44,-92,Burger King,55033,MN
2283,Bangor,US,44,-68,Burger King,4401,ME
2284,Bartlesville,US,36,-95,Burger King,74006,OK
2285,Carencro,US,30,-92,Burger King,70520,LA
2286,Placerville,US,38,-120,Taco Bell,95667,CA
2287,Platte City,US,39,-94,Taco Bell,64079,MO
2288,Cleveland,US,41,-81,Burger King,44125,OH
2289,Cleveland,US,41,-81,Burger King,44126,OH
2290,Cleveland,US,41,-81,Burger King,44128,OH
2291,Cedar Rapids,US,41,-91,Burger King,52405,IA
2292,Clinton,US,41,-90,Burger King,52732,IA
2293,Clinton,US,36,-84,Burger King,37716,TN
2294,Collinsville,US,38,-90,Burger King,62234,IL
2295,Colorado Springs,US,38,-104,Burger King,80910,CO
2296,Coopersville,US,43,-85,Burger King,49404,MI
2297,Colorado Springs,US,38,-104,Burger King,80922,CO
2298,Columbia City,US,41,-85,Burger King,46725,IN
2299,Corning,US,39,-122,Burger King,96021,CA
2300,Colorado Springs,US,38,-104,Burger King,80920,CO
2301,Shelby,US,35,-81,McDonald's,28150,NC
2302,Columbus,US,39,-83,Burger King,43212,OH
2303,Albany,US,42,-73,Burger King,12203,NY
2304,Troy,US,42,-73,Burger King,12180,NY
2305,Lake Ariel,US,41,-75,Burger King,18436,PA
2306,Lake Orion,US,42,-83,Burger King,48360,MI
2307,Lake Zurich,US,42,-88,Burger King,60047,IL
2308,Lockport,US,43,-78,Burger King,14094,NY
2309,Lakewood,US,47,-122,Burger King,98499,WA
2310,Hillsboro,US,45,-122,Burger King,97124,OR
2311,Hilo,US,19,-155,Burger King,96720,HI
2312,Houma,US,29,-90,Burger King,70360,LA
2313,Houma,US,29,-90,Burger King,70360,LA
2314,Kenner,US,30,-90,Burger King,70065,LA
2315,Kennesaw,US,34,-84,Burger King,30144,GA
2316,Kent,US,47,-122,Burger King,98032,WA
2317,Kent,US,47,-122,Burger King,98032,WA
2318,Kennett,US,36,-90,Burger King,63857,MO
2319,Luray,US,38,-78,Burger King,22835,VA
2320,Marion,US,42,-91,Burger King,52302,IA
2321,Sandusky,US,41,-82,Greyhound,44870,OH
2322,Depew,US,42,-78,Burger King,14043,NY
2323,Shawnee,US,38,-94,Church's Chicken,66203,KS
2324,Minneapolis,US,44,-93,Burger King,55439,MN
2325,Romulus,US,42,-83,McDonald's,48174,MI
2326,Covington,US,30,-90,Burger King,70433,LA
2327,Covington,US,39,-84,Burger King,41011,KY
2328,Crete,US,40,-96,Burger King,68333,NE
2329,Crown Point,US,41,-87,Burger King,46307,IN
2330,Dothan,US,31,-85,Burger King,36301,AL
2331,Norman,US,35,-97,Burger King,73071,OK
2332,Norristown,US,40,-75,Burger King,19403,PA
2333,North Canton,US,40,-81,Burger King,44720,OH
2334,Chesterton,US,41,-87,Burger King,46304,IN
2335,Monmouth,US,40,-90,Burger King,61462,IL
2336,Mount Carmel,US,38,-87,Burger King,62863,IL
2337,Mount Joy,US,40,-76,Burger King,17552,PA
2338,Monroe,US,39,-84,Burger King,45050,OH
2339,Brewton,US,31,-87,Burger King,36426,AL
2340,Braintree,US,42,-70,Burger King,2184,MA
2341,Lindsay,US,36,-119,Burger King,93247,CA
2342,Amherst,US,41,-82,Burger King,44001,OH
2343,Anniston,US,33,-85,Burger King,36201,AL
2344,Gig Harbor,US,47,-122,Burger King,98335,WA
2345,Brunswick,US,31,-81,Burger King,31520,GA
2346,Burlington,US,39,-84,Burger King,41005,KY
2347,Burnsville,US,44,-93,Burger King,55337,MN
2348,Mentor,US,41,-81,Burger King,44060,OH
2349,Menomonie,US,44,-91,Burger King,54751,WI
2350,Arkadelphia,US,34,-93,Burger King,71923,AR
2351,Martinsville,US,39,-86,Burger King,46151,IN
2352,Arlington,US,48,-122,Burger King,98223,WA
2353,Marysville,US,39,-121,Burger King,95901,CA
2354,Glen Ellyn,US,41,-88,Burger King,60137,IL
2355,Ashland,US,46,-90,Burger King,54806,WI
2356,Mcallen,US,26,-98,Burger King,78504,TX
2357,Atlanta,US,33,-84,Burger King,30328,GA
2358,Memphis,US,35,-89,Burger King,38116,TN
2359,Chesterfield,US,38,-90,Noodles & Company,63017,MO
2360,Endicott,US,42,-76,Wendy's,13760,NY
2361,Owego,US,42,-76,Wendy's,13827,NY
2362,Uhrichsville,US,40,-81,McDonald's,44683,OH
2363,Flat Rock,US,42,-83,Burger King,48134,MI
2364,Biscoe,US,35,-79,Bojangles' Famous Chicken 'n Biscuits,27209,NC
2365,Farmington,US,42,-83,Burger King,48336,MI
2366,Eureka,US,38,-90,Burger King,63025,MO
2367,Twin Falls,US,42,-114,Burger King,83301,ID
2368,Folsom,US,38,-121,Burger King,95630,CA
2369,Bay Minette,US,30,-87,Burger King,36507,AL
2370,Beatrice,US,40,-96,Burger King,68310,NE
2371,Traverse City,US,44,-85,Burger King,49684,MI
2372,Troy,US,38,-90,Burger King,63379,MO
2373,Bedford,US,41,-81,Burger King,44146,OH
